query_original,query_type,matched_term,match_basis,match_confidence,review_status,decision_scope,harmonization_eligibility,identity_evidence_level,source_system,study_id,study_title,accession_or_contrast,study_link,sample_matrix,species,intervention_timing,platform,assay_panel,sex_or_subgroup,analysis_stratum,analysis_stratum_fields,metabolite,refmet_name,refmet_id,source_refmet_id,refmet_annotation_match_basis,identity_stable_identifier_supported,refmet_annotation_source,refmet_annotation_release,refmet_annotation_provenance,source_metabolite_raw,class,superclass,subclass,log2fc,p_value,fdr,direction,significance_call,effect_interpretation,provenance_file,missing_evidence
kynurenine,class,L-Kynurenine,inferred_name_pattern,inferred_name_pattern,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,Metabolomics Workbench,ST004303,Exercise intensity modulates the human plasma secretome (Rockefeller),"ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled",https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004303,plasma,Homo sapiens,"acute, post (Time 4P) vs pre (Time 1P)",LC-MS HILIC (MW analysis AN007160),AN007160,all_or_not_reported,"source_system=Metabolomics Workbench | study_id=ST004303 | species=Homo sapiens | sample_matrix=plasma | assay_panel=AN007160 | accession_or_contrast=ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled | sex_or_subgroup=all_or_not_reported",source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,L-Kynurenine,Kynurenine,RM0132226,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,L-Kynurenine,Amino acids and peptides,Organic acids,Amino acids,-0.3032168084743963,7.372809129231747e-07,8.526814036415847e-06,down_in_numerator,significant_FDR<0.05,"0.30 log2-units lower in HIGHER post-exercise (late, ~late-post) (p=7.37e-07, FDR=8.53e-06)",data/live/volcano_human_ST004303.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
kynurenine,class,D-(+)-Tryptophan,inferred_name_pattern,inferred_name_pattern,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,Metabolomics Workbench,ST004303,Exercise intensity modulates the human plasma secretome (Rockefeller),"ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled",https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004303,plasma,Homo sapiens,"acute, post (Time 4P) vs pre (Time 1P)",LC-MS HILIC (MW analysis AN007160),AN007160,all_or_not_reported,"source_system=Metabolomics Workbench | study_id=ST004303 | species=Homo sapiens | sample_matrix=plasma | assay_panel=AN007160 | accession_or_contrast=ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled | sex_or_subgroup=all_or_not_reported",source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,D-(+)-Tryptophan,D-Tryptophan,RM0157458,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,D-(+)-Tryptophan,Amino acids and peptides,Organic acids,Amino acids,-0.4197964586098009,9.530021730858198e-07,9.749945309262618e-06,down_in_numerator,significant_FDR<0.05,"0.42 log2-units lower in HIGHER post-exercise (late, ~late-post) (p=9.53e-07, FDR=9.75e-06)",data/live/volcano_human_ST004303.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
kynurenine,class,2-Oxindole,inferred_name_pattern,inferred_name_pattern,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,Metabolomics Workbench,ST004303,Exercise intensity modulates the human plasma secretome (Rockefeller),"ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled",https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004303,plasma,Homo sapiens,"acute, post (Time 4P) vs pre (Time 1P)",LC-MS HILIC (MW analysis AN007160),AN007160,all_or_not_reported,"source_system=Metabolomics Workbench | study_id=ST004303 | species=Homo sapiens | sample_matrix=plasma | assay_panel=AN007160 | accession_or_contrast=ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled | sex_or_subgroup=all_or_not_reported",source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,2-Oxindole,Indolin-2-one,RM0029653,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,2-Oxindole,Tryptophan alkaloids,Alkaloids,Indolines,-0.4859052425363543,8.095533436042182e-05,0.0004325564028885,down_in_numerator,significant_FDR<0.05,"0.49 log2-units lower in HIGHER post-exercise (late, ~late-post) (p=8.10e-05, FDR=4.33e-04)",data/live/volcano_human_ST004303.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
kynurenine,class,2-(1H-indol-3-yl)acetic acid,inferred_name_pattern,inferred_name_pattern,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,Metabolomics Workbench,ST004303,Exercise intensity modulates the human plasma secretome (Rockefeller),"ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled",https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004303,plasma,Homo sapiens,"acute, post (Time 4P) vs pre (Time 1P)",LC-MS HILIC (MW analysis AN007160),AN007160,all_or_not_reported,"source_system=Metabolomics Workbench | study_id=ST004303 | species=Homo sapiens | sample_matrix=plasma | assay_panel=AN007160 | accession_or_contrast=ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled | sex_or_subgroup=all_or_not_reported",source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,2-(1H-indol-3-yl)acetic acid,Indoleacetic acid,RM0135909,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,2-(1H-indol-3-yl)acetic acid,Tryptophan alkaloids,Alkaloids,Indoleacetic acids,-0.3040374209862253,0.0004973993734425,0.0018634962441651,down_in_numerator,significant_FDR<0.05,"0.30 log2-units lower in HIGHER post-exercise (late, ~late-post) (p=4.97e-04, FDR=1.86e-03)",data/live/volcano_human_ST004303.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
kynurenine,class,4-Indolecarbaldehyde,inferred_name_pattern,inferred_name_pattern,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,Metabolomics Workbench,ST004303,Exercise intensity modulates the human plasma secretome (Rockefeller),"ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled",https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004303,plasma,Homo sapiens,"acute, post (Time 4P) vs pre (Time 1P)",LC-MS HILIC (MW analysis AN007160),AN007160,all_or_not_reported,"source_system=Metabolomics Workbench | study_id=ST004303 | species=Homo sapiens | sample_matrix=plasma | assay_panel=AN007160 | accession_or_contrast=ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled | sex_or_subgroup=all_or_not_reported",source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,4-Indolecarbaldehyde,Indole-4-carboxaldehyde,RM0011479,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,4-Indolecarbaldehyde,Tryptophan alkaloids,Alkaloids,Simple indole alkaloids,-0.2713012210876716,0.0325002837120399,0.0714469046892779,down_in_numerator,not_significant,"0.27 log2-units lower in HIGHER post-exercise (late, ~late-post) (p=3.25e-02, FDR=7.14e-02)",data/live/volcano_human_ST004303.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
kynurenine,class,INDOLEPROPIONIC ACID,inferred_name_pattern,inferred_name_pattern,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,Metabolomics Workbench,ST004303,Exercise intensity modulates the human plasma secretome (Rockefeller),"ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled",https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004303,plasma,Homo sapiens,"acute, post (Time 4P) vs pre (Time 1P)",LC-MS HILIC (MW analysis AN007160),AN007160,all_or_not_reported,"source_system=Metabolomics Workbench | study_id=ST004303 | species=Homo sapiens | sample_matrix=plasma | assay_panel=AN007160 | accession_or_contrast=ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled | sex_or_subgroup=all_or_not_reported",source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,INDOLEPROPIONIC ACID,Indolepropionic acid,RM0004886,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,INDOLEPROPIONIC ACID,Tryptophan alkaloids,Alkaloids,Indolecarboxylic acids,-0.1443416335825569,0.0806595141995736,0.150037977462144,down_in_numerator,not_significant,"0.14 log2-units lower in HIGHER post-exercise (late, ~late-post) (p=8.07e-02, FDR=1.50e-01)",data/live/volcano_human_ST004303.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
kynurenine,class,trans-3-Indoleacrylic acid,inferred_name_pattern,inferred_name_pattern,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,Metabolomics Workbench,ST004303,Exercise intensity modulates the human plasma secretome (Rockefeller),"ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled",https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004303,plasma,Homo sapiens,"acute, post (Time 4P) vs pre (Time 1P)",LC-MS HILIC (MW analysis AN007160),AN007160,all_or_not_reported,"source_system=Metabolomics Workbench | study_id=ST004303 | species=Homo sapiens | sample_matrix=plasma | assay_panel=AN007160 | accession_or_contrast=ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled | sex_or_subgroup=all_or_not_reported",source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,trans-3-Indoleacrylic acid,trans-3-Indoleacrylic acid,RM0156089,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,trans-3-Indoleacrylic acid,Tryptophan alkaloids,Alkaloids,Indoleacrylic acids,0.0575366959209597,0.475949551779299,0.6044273328650822,up_in_numerator,not_significant,"0.06 log2-units higher in HIGHER post-exercise (late, ~late-post) (p=4.76e-01, FDR=6.04e-01)",data/live/volcano_human_ST004303.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
kynurenine,class,4-QUINOLINECARBOXYLIC ACID,inferred_name_pattern,inferred_name_pattern,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,Metabolomics Workbench,ST004303,Exercise intensity modulates the human plasma secretome (Rockefeller),"ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled",https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004303,plasma,Homo sapiens,"acute, post (Time 4P) vs pre (Time 1P)",LC-MS HILIC (MW analysis AN007160),AN007160,all_or_not_reported,"source_system=Metabolomics Workbench | study_id=ST004303 | species=Homo sapiens | sample_matrix=plasma | assay_panel=AN007160 | accession_or_contrast=ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled | sex_or_subgroup=all_or_not_reported",source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,4-QUINOLINECARBOXYLIC ACID,4-Quinolinecarboxylic acid,RM0042347,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,4-QUINOLINECARBOXYLIC ACID,Anthranilic acid alkaloids,Alkaloids,Acridone alkaloids,0.0392715613932192,0.7080205761189283,0.8082981684447852,up_in_numerator,not_significant,"0.04 log2-units higher in HIGHER post-exercise (late, ~late-post) (p=7.08e-01, FDR=8.08e-01)",data/live/volcano_human_ST004303.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
kynurenine,class,Kynurenic acid,inferred_name_pattern,inferred_name_pattern,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,Metabolomics Workbench,ST004303,Exercise intensity modulates the human plasma secretome (Rockefeller),"ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled",https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004303,plasma,Homo sapiens,"acute, post (Time 4P) vs pre (Time 1P)",LC-MS HILIC (MW analysis AN007160),AN007160,all_or_not_reported,"source_system=Metabolomics Workbench | study_id=ST004303 | species=Homo sapiens | sample_matrix=plasma | assay_panel=AN007160 | accession_or_contrast=ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled | sex_or_subgroup=all_or_not_reported",source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,Kynurenic acid,Kynurenic acid,RM0032431,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,Kynurenic acid,Anthranilic acid alkaloids,Alkaloids,Acridone alkaloids,-0.0100722012891653,0.9318841519006144,0.969191809401708,down_in_numerator,not_significant,"0.01 log2-units lower in HIGHER post-exercise (late, ~late-post) (p=9.32e-01, FDR=9.69e-01)",data/live/volcano_human_ST004303.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
kynurenine,class,N-Acetyl-D-tryptophan [metab-u-hilicpos],inferred_name_pattern,inferred_name_pattern,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,MoTrPAC DataHub,human-precovid-sed-adu,MoTrPAC human acute exercise (precovid sedentary adults),ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,https://motrpac-data.org/data-download,plasma,Homo sapiens,"acute, endurance bout, late post (~3.5-4 hr) vs pre",metab-u-hilicpos,metab-u-hilicpos,all_or_not_reported,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-hilicpos | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,N-Acetyl-D-tryptophan [metab-u-hilicpos],N-Acetyl-D-tryptophan,RM0132212,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,N-Acetyl-D-tryptophan [metab-u-hilicpos],Amino acids and peptides,Organic acids,Amino acids,-0.433133774165327,1.40902298605555e-18,2.4657902255972105e-17,down_in_numerator,significant_FDR<0.05,"0.43 log2-units lower in HIGHER post-exercise (endurance, late post) (p=1.41e-18, FDR=2.47e-17)",data/live/volcano_motrpac_human_plasma_endur_post.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
kynurenine,class,Tryptophan [metab-u-hilicpos],inferred_name_pattern,inferred_name_pattern,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,MoTrPAC DataHub,human-precovid-sed-adu,MoTrPAC human acute exercise (precovid sedentary adults),ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,https://motrpac-data.org/data-download,plasma,Homo sapiens,"acute, endurance bout, late post (~3.5-4 hr) vs pre",metab-u-hilicpos,metab-u-hilicpos,all_or_not_reported,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-hilicpos | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,Tryptophan [metab-u-hilicpos],Tryptophan,RM0136024,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,Tryptophan [metab-u-hilicpos],Amino acids and peptides,Organic acids,Amino acids,-0.200778587476513,2.33734266794065e-16,3.55682579904011e-15,down_in_numerator,significant_FDR<0.05,"0.20 log2-units lower in HIGHER post-exercise (endurance, late post) (p=2.34e-16, FDR=3.56e-15)",data/live/volcano_motrpac_human_plasma_endur_post.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
