query_refmet_name,match_basis,review_status,decision_scope,harmonization_eligibility,study_id,analysis_id,study_title,species,sample_source,analysis_type,polarity,chromatography,disease,refmet_name,refmet_id,inchi_key,pubchem_cid,super_class,main_class,sub_class,study_link,source_system,provenance_url
N-Lactoyl tryptophan,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004891,AN008291,Metabolomic profiling of simulated oral bacterial consortia identifies limited bacterial production of GDM-associated salivary metabolites and glutamine enrichment in Streptococcus-dominated communities,Gemella morbillorum,Bacterial media,LCMS,POSITIVE,Reverse phase LC,Diabetes,N-Lactoyl tryptophan,,AQHJZWISLYVACJ-UFBFGSQYSA-N,131770415,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004891,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20tryptophan
N-Lactoyl tryptophan,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST005052,AN008590,"Untargeted fecal metabolomics reveals persistent host species-associated metabolic differentiation among co-housed camels, yaks, horses, and Mongolian wild asses",Horse; Yak; Donkey; Camel,Feces,LCMS,POSITIVE,Reversed phase,,N-Lactoyl tryptophan,,AQHJZWISLYVACJ-UFBFGSQYSA-N,131770415,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST005052,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20tryptophan
N-Lactoyl tryptophan,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST002010,AN003276,Chemoresistant Ovarian Cancer Global Metabolomics,Human,Cultured cells,LCMS,POSITIVE,HILIC,Cancer,N-Lactoyl tryptophan,,AQHJZWISLYVACJ-UFBFGSQYSA-N,131770415,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST002010,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20tryptophan
N-Lactoyl tryptophan,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST002104,AN003439,"Chemoresistant Cancer Cell Lines are Characterized by Migratory, Amino Acid Metabolism, Protein Catabolism and IFN1 Signalling Perturbations",Human,Cultured cells,LCMS,POSITIVE,HILIC,Cancer,N-Lactoyl tryptophan,,AQHJZWISLYVACJ-UFBFGSQYSA-N,131770415,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST002104,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20tryptophan
N-Lactoyl tryptophan,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003778,AN006205,Human to mouse microbiota transfer model demonstrates disease-modifying effects of the short-chain fatty acid biotherapy modified microbiota,Mouse,Feces,LCMS,POSITIVE,HILIC,Diabetes,N-Lactoyl tryptophan,,AQHJZWISLYVACJ-UFBFGSQYSA-N,131770415,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003778,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20tryptophan
N-Lactoyl tryptophan,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003818,AN006278,Irisin Attenuates Postmenopausal Osteoporosis by Upregulating Phosphatidylcholine Metabolism via the Wnt/β-catenin Pathway,Mouse,Blood,LCMS,NEGATIVE,Reversed phase,Osteoporosis,N-Lactoyl tryptophan,,AQHJZWISLYVACJ-UFBFGSQYSA-N,131770415,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003818,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20tryptophan
N-Lactoyl tryptophan,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST002106,AN003445,Genetic and chemical validation of Plasmodium falciparum aminopeptidase PfA-M17 as a drug target in the hemoglobin digestion pathway (Part 1),Plasmodium falciparum,Blood,LCMS,NEGATIVE,HILIC,Malaria,N-Lactoyl tryptophan,,AQHJZWISLYVACJ-UFBFGSQYSA-N,131770415,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST002106,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20tryptophan
N-Lactoyl tryptophan,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003024,AN004958,Identifying and mathematically modeling the time-course of extracellular metabolic markers associated with resistance to ceftolozane/tazobactam in Pseudomonas aeruginosa - Part 1,Pseudomonas aeruginosa,Bacterial cells,LCMS,POSITIVE,HILIC,,N-Lactoyl tryptophan,,AQHJZWISLYVACJ-UFBFGSQYSA-N,131770415,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003024,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20tryptophan
N-Lactoyl tryptophan,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004153,AN006894,Multi-omics Study of Small Intestine Adaptation After Total Colectomy in a Rat model,Rat,Feces,LCMS,POSITIVE,Reversed phase,,N-Lactoyl tryptophan,,AQHJZWISLYVACJ-UFBFGSQYSA-N,131770415,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004153,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20tryptophan
N-Lactoyl tryptophan,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004179,AN006937,PBT2-mediated dual metal stress: uncovering metabolic vulnerabilities and overcoming resistance in methicillin resistant Staphylococcus aureus,Staphylococcus aureus,Bacterial cells,LCMS,POSITIVE,HILIC,Bacterial infection,N-Lactoyl tryptophan,,AQHJZWISLYVACJ-UFBFGSQYSA-N,131770415,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004179,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20tryptophan
N-Lactoyl tryptophan,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004179,AN006938,PBT2-mediated dual metal stress: uncovering metabolic vulnerabilities and overcoming resistance in methicillin resistant Staphylococcus aureus,Staphylococcus aureus,Bacterial cells,LCMS,NEGATIVE,HILIC,Bacterial infection,N-Lactoyl tryptophan,,AQHJZWISLYVACJ-UFBFGSQYSA-N,131770415,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004179,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20tryptophan
