query_original,query_type,matched_term,match_basis,match_confidence,review_status,decision_scope,harmonization_eligibility,identity_evidence_level,source_system,study_id,study_title,accession_or_contrast,study_link,sample_matrix,species,intervention_timing,platform,assay_panel,sex_or_subgroup,analysis_stratum,analysis_stratum_fields,metabolite,refmet_name,refmet_id,source_refmet_id,refmet_annotation_match_basis,identity_stable_identifier_supported,refmet_annotation_source,refmet_annotation_release,refmet_annotation_provenance,source_metabolite_raw,class,superclass,subclass,log2fc,p_value,fdr,direction,significance_call,effect_interpretation,provenance_file,missing_evidence
Leucine,metabolite,Leucine,exact_name_match,exact_name_only,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,Metabolomics Workbench,ST004303,Exercise intensity modulates the human plasma secretome (Rockefeller),"ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled",https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004303,plasma,Homo sapiens,"acute, post (Time 4P) vs pre (Time 1P)",LC-MS HILIC (MW analysis AN007160),AN007160,all_or_not_reported,"source_system=Metabolomics Workbench | study_id=ST004303 | species=Homo sapiens | sample_matrix=plasma | assay_panel=AN007160 | accession_or_contrast=ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled | sex_or_subgroup=all_or_not_reported",source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,Leucine,Leucine,RM0136379,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,Leucine,Amino acids and peptides,Organic acids,Amino acids,4.043711472988204,1.0283322407256276e-11,2.7353637603301693e-09,up_in_numerator,significant_FDR<0.05,"4.04 log2-units higher in HIGHER post-exercise (late, ~late-post) (p=1.03e-11, FDR=2.74e-09)",data/live/volcano_human_ST004303.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
Leucine,metabolite,Isoleucine,substring_name_match,substring_name_only,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,Metabolomics Workbench,ST004303,Exercise intensity modulates the human plasma secretome (Rockefeller),"ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled",https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004303,plasma,Homo sapiens,"acute, post (Time 4P) vs pre (Time 1P)",LC-MS HILIC (MW analysis AN007160),AN007160,all_or_not_reported,"source_system=Metabolomics Workbench | study_id=ST004303 | species=Homo sapiens | sample_matrix=plasma | assay_panel=AN007160 | accession_or_contrast=ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled | sex_or_subgroup=all_or_not_reported",source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,Isoleucine,Isoleucine,RM0134975,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,Isoleucine,Amino acids and peptides,Organic acids,Amino acids,-0.2747125423851216,0.0004164995667226,0.0015826983535461,down_in_numerator,significant_FDR<0.05,"0.27 log2-units lower in HIGHER post-exercise (late, ~late-post) (p=4.16e-04, FDR=1.58e-03)",data/live/volcano_human_ST004303.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
Leucine,metabolite,L-Isoleucine,substring_name_match,substring_name_only,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,Metabolomics Workbench,ST004303,Exercise intensity modulates the human plasma secretome (Rockefeller),"ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled",https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004303,plasma,Homo sapiens,"acute, post (Time 4P) vs pre (Time 1P)",LC-MS HILIC (MW analysis AN007160),AN007160,all_or_not_reported,"source_system=Metabolomics Workbench | study_id=ST004303 | species=Homo sapiens | sample_matrix=plasma | assay_panel=AN007160 | accession_or_contrast=ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled | sex_or_subgroup=all_or_not_reported",source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,L-Isoleucine,Isoleucine,RM0134975,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,L-Isoleucine,Amino acids and peptides,Organic acids,Amino acids,-0.2680625729308472,0.0006201715615892,0.0021706004655622,down_in_numerator,significant_FDR<0.05,"0.27 log2-units lower in HIGHER post-exercise (late, ~late-post) (p=6.20e-04, FDR=2.17e-03)",data/live/volcano_human_ST004303.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
Leucine,metabolite,4-METHYL-2-OXO-PENTANOIC ACID,substring_name_match,substring_name_only,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,Metabolomics Workbench,ST004303,Exercise intensity modulates the human plasma secretome (Rockefeller),"ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled",https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004303,plasma,Homo sapiens,"acute, post (Time 4P) vs pre (Time 1P)",LC-MS HILIC (MW analysis AN007160),AN007160,all_or_not_reported,"source_system=Metabolomics Workbench | study_id=ST004303 | species=Homo sapiens | sample_matrix=plasma | assay_panel=AN007160 | accession_or_contrast=ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled | sex_or_subgroup=all_or_not_reported",source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,4-METHYL-2-OXO-PENTANOIC ACID,Ketoleucine,RM0135977,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,4-METHYL-2-OXO-PENTANOIC ACID,Keto acids,Organic acids,Short-chain keto acids,-0.1566545896419263,0.0213454442304716,0.0489473117698747,down_in_numerator,significant_FDR<0.05,"0.16 log2-units lower in HIGHER post-exercise (late, ~late-post) (p=2.13e-02, FDR=4.89e-02)",data/live/volcano_human_ST004303.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
Leucine,metabolite,DL-β-Leucine,substring_name_match,substring_name_only,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,Metabolomics Workbench,ST004303,Exercise intensity modulates the human plasma secretome (Rockefeller),"ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled",https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004303,plasma,Homo sapiens,"acute, post (Time 4P) vs pre (Time 1P)",LC-MS HILIC (MW analysis AN007160),AN007160,all_or_not_reported,"source_system=Metabolomics Workbench | study_id=ST004303 | species=Homo sapiens | sample_matrix=plasma | assay_panel=AN007160 | accession_or_contrast=ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled | sex_or_subgroup=all_or_not_reported",source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,DL-β-Leucine,beta-Leucine,RM0021466,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,DL-β-Leucine,Amino acids and peptides,Organic acids,Amino acids,-0.1507186415704617,0.1133617147693249,0.1996967955539101,down_in_numerator,not_significant,"0.15 log2-units lower in HIGHER post-exercise (late, ~late-post) (p=1.13e-01, FDR=2.00e-01)",data/live/volcano_human_ST004303.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
Leucine,metabolite,Prolylleucine,substring_name_match,substring_name_only,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,Metabolomics Workbench,ST004303,Exercise intensity modulates the human plasma secretome (Rockefeller),"ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled",https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004303,plasma,Homo sapiens,"acute, post (Time 4P) vs pre (Time 1P)",LC-MS HILIC (MW analysis AN007160),AN007160,all_or_not_reported,"source_system=Metabolomics Workbench | study_id=ST004303 | species=Homo sapiens | sample_matrix=plasma | assay_panel=AN007160 | accession_or_contrast=ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled | sex_or_subgroup=all_or_not_reported",source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,Prolylleucine,Pro-Leu,RM0137550,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,Prolylleucine,Amino acids and peptides,Organic acids,Dipeptides,0.0943942870176293,0.1530458815120575,0.2560390219006749,up_in_numerator,not_significant,"0.09 log2-units higher in HIGHER post-exercise (late, ~late-post) (p=1.53e-01, FDR=2.56e-01)",data/live/volcano_human_ST004303.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
Leucine,metabolite,Alloisoleucine [metab-u-hilicpos],substring_name_match,substring_name_only,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,MoTrPAC DataHub,human-precovid-sed-adu,MoTrPAC human acute exercise (precovid sedentary adults),ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,https://motrpac-data.org/data-download,plasma,Homo sapiens,"acute, endurance bout, late post (~3.5-4 hr) vs pre",metab-u-hilicpos,metab-u-hilicpos,all_or_not_reported,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-hilicpos | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,Alloisoleucine [metab-u-hilicpos],Alloisoleucine,RM0135966,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,Alloisoleucine [metab-u-hilicpos],Amino acids and peptides,Organic acids,Amino acids,4.26030212641535,1.59805650690069e-180,5.59319777415242e-178,up_in_numerator,significant_FDR<0.05,"4.26 log2-units higher in HIGHER post-exercise (endurance, late post) (p=1.60e-180, FDR=5.59e-178)",data/live/volcano_motrpac_human_plasma_endur_post.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
Leucine,metabolite,Leucine [metab-u-hilicpos],exact_name_match,exact_name_only,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,MoTrPAC DataHub,human-precovid-sed-adu,MoTrPAC human acute exercise (precovid sedentary adults),ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,https://motrpac-data.org/data-download,plasma,Homo sapiens,"acute, endurance bout, late post (~3.5-4 hr) vs pre",metab-u-hilicpos,metab-u-hilicpos,all_or_not_reported,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-hilicpos | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,Leucine [metab-u-hilicpos],Leucine,RM0136379,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,Leucine [metab-u-hilicpos],Amino acids and peptides,Organic acids,Amino acids,0.146765252992406,1.84655232328086e-16,2.9376968779468307e-15,up_in_numerator,significant_FDR<0.05,"0.15 log2-units higher in HIGHER post-exercise (endurance, late post) (p=1.85e-16, FDR=2.94e-15)",data/live/volcano_motrpac_human_plasma_endur_post.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
Leucine,metabolite,Leucine/Isoleucine [metab-u-rpneg],substring_name_match,substring_name_only,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,MoTrPAC DataHub,human-precovid-sed-adu,MoTrPAC human acute exercise (precovid sedentary adults),ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,https://motrpac-data.org/data-download,plasma,Homo sapiens,"acute, endurance bout, late post (~3.5-4 hr) vs pre",metab-u-rpneg,metab-u-rpneg,all_or_not_reported,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-rpneg | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,Leucine/Isoleucine [metab-u-rpneg],Leucine/Isoleucine,RM0013480,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,Leucine/Isoleucine [metab-u-rpneg],Amino acids and peptides,Organic acids,Amino acids,-0.266060216551786,2.63919040300145e-13,2.69197421106148e-12,down_in_numerator,significant_FDR<0.05,"0.27 log2-units lower in HIGHER post-exercise (endurance, late post) (p=2.64e-13, FDR=2.69e-12)",data/live/volcano_motrpac_human_plasma_endur_post.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
Leucine,metabolite,Isoleucine [metab-u-hilicpos],substring_name_match,substring_name_only,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,MoTrPAC DataHub,human-precovid-sed-adu,MoTrPAC human acute exercise (precovid sedentary adults),ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,https://motrpac-data.org/data-download,plasma,Homo sapiens,"acute, endurance bout, late post (~3.5-4 hr) vs pre",metab-u-hilicpos,metab-u-hilicpos,all_or_not_reported,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-hilicpos | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,Isoleucine [metab-u-hilicpos],Isoleucine,RM0134975,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,Isoleucine [metab-u-hilicpos],Amino acids and peptides,Organic acids,Amino acids,0.121309087458012,9.54269977139134e-10,6.3017828678999405e-09,up_in_numerator,significant_FDR<0.05,"0.12 log2-units higher in HIGHER post-exercise (endurance, late post) (p=9.54e-10, FDR=6.30e-09)",data/live/volcano_motrpac_human_plasma_endur_post.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
Leucine,metabolite,beta-Leucine [metab-u-hilicpos],substring_name_match,substring_name_only,requires_human_review,retrieval_and_annotation_match_only,requires_assay_identity_review,name_resolved_annotation_only,MoTrPAC DataHub,human-precovid-sed-adu,MoTrPAC human acute exercise (precovid sedentary adults),ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,https://motrpac-data.org/data-download,plasma,Homo sapiens,"acute, endurance bout, late post (~3.5-4 hr) vs pre",metab-u-hilicpos,metab-u-hilicpos,all_or_not_reported,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-hilicpos | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,beta-Leucine [metab-u-hilicpos],beta-Leucine,RM0021466,not_available,exact_name_lookup,False,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,beta-Leucine [metab-u-hilicpos],Amino acids and peptides,Organic acids,Amino acids,0.123883247256838,7.29999079618263e-08,3.70289388212163e-07,up_in_numerator,significant_FDR<0.05,"0.12 log2-units higher in HIGHER post-exercise (endurance, late post) (p=7.30e-08, FDR=3.70e-07)",data/live/volcano_motrpac_human_plasma_endur_post.csv,refmet_annotation_release;source_stable_metabolite_identifier;chemical_identity_not_identifier_supported
