query_refmet_name,match_basis,review_status,decision_scope,harmonization_eligibility,study_id,analysis_id,study_title,species,sample_source,analysis_type,polarity,chromatography,disease,refmet_name,refmet_id,inchi_key,pubchem_cid,super_class,main_class,sub_class,study_link,source_system,provenance_url
N-Lactoyl methionine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004891,AN008292,Metabolomic profiling of simulated oral bacterial consortia identifies limited bacterial production of GDM-associated salivary metabolites and glutamine enrichment in Streptococcus-dominated communities,Gemella morbillorum,Bacterial media,LCMS,NEGATIVE,Reverse phase LC,Diabetes,N-Lactoyl methionine,,UFMNJPDGXQPVJM-WDSKDSINSA-N,57329454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004891,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20methionine
N-Lactoyl methionine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST002016,AN003284,Metabolomics of COVID patients,Human,Blood,LCMS,POSITIVE,Reversed phase,COVID-19,N-Lactoyl methionine,,UFMNJPDGXQPVJM-WDSKDSINSA-N,57329454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST002016,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20methionine
N-Lactoyl methionine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003333,AN005460,Urine Metabolite Profiling in Indian Male Population at High Altitude using Liquid Chromatography – Mass Spectrometry: A Longitudinal Pilot Study,Human,Urine,LCMS,POSITIVE,Reversed phase,Environmental exposure,N-Lactoyl methionine,,UFMNJPDGXQPVJM-WDSKDSINSA-N,57329454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003333,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20methionine
N-Lactoyl methionine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003333,AN005461,Urine Metabolite Profiling in Indian Male Population at High Altitude using Liquid Chromatography – Mass Spectrometry: A Longitudinal Pilot Study,Human,Urine,LCMS,NEGATIVE,Reversed phase,Environmental exposure,N-Lactoyl methionine,,UFMNJPDGXQPVJM-WDSKDSINSA-N,57329454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003333,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20methionine
N-Lactoyl methionine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST001783,AN002894,Performance of Three Differential Metabolites at Different TSS within 20 days,Mouse,Blood,LCMS,UNSPECIFIED,Reversed phase,,N-Lactoyl methionine,,UFMNJPDGXQPVJM-WDSKDSINSA-N,57329454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST001783,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20methionine
N-Lactoyl methionine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003063,AN005018,Uncoupling Metabolic Health from Thermogenesis via BCAA Nitrogen Flux in Brown Fat - Serum metabolomics from control and MBC UCP1-KO,Mouse,Blood,LCMS,POSITIVE,HILIC,Diabetes,N-Lactoyl methionine,,UFMNJPDGXQPVJM-WDSKDSINSA-N,57329454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003063,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20methionine
N-Lactoyl methionine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003128,AN005128,Effect of high fat diet on serum lipidome and metabolome in CHCHD10 Mutant Mice,Mouse,Blood,LCMS,UNSPECIFIED,HILIC,Cardiomyopathy,N-Lactoyl methionine,,UFMNJPDGXQPVJM-WDSKDSINSA-N,57329454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003128,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20methionine
N-Lactoyl methionine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003378,AN005531,Effects of Aldehydes on lipid metabolism in mice,Mouse,Liver,LCMS,NEGATIVE,Reversed phase,Liver disease,N-Lactoyl methionine,,UFMNJPDGXQPVJM-WDSKDSINSA-N,57329454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003378,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20methionine
N-Lactoyl methionine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004200,AN006985,untargeted metabolomics in serum of microplastics exposed mice - Untargeted LC/MS,Mouse,Blood,LCMS,POSITIVE,HILIC,Environmental exposure,N-Lactoyl methionine,,UFMNJPDGXQPVJM-WDSKDSINSA-N,57329454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004200,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20methionine
N-Lactoyl methionine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004200,AN006986,untargeted metabolomics in serum of microplastics exposed mice - Untargeted LC/MS,Mouse,Blood,LCMS,NEGATIVE,HILIC,Environmental exposure,N-Lactoyl methionine,,UFMNJPDGXQPVJM-WDSKDSINSA-N,57329454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004200,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20methionine
