query_refmet_name,match_basis,review_status,decision_scope,harmonization_eligibility,study_id,analysis_id,study_title,species,sample_source,analysis_type,polarity,chromatography,disease,refmet_name,refmet_id,inchi_key,pubchem_cid,super_class,main_class,sub_class,study_link,source_system,provenance_url
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST001620,AN002655,Dietary composition analysis of chow diet and purified diet using untargeted metabonomics,not reported,Diet,LCMS,UNSPECIFIED,Reversed phase,,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST001620,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004314,AN007184,Metabolic diversity within the Akkermansia genus,Akkermansia muciniphila,Bacterial cells,LCMS,NEGATIVE,Reversed phase,Bacterial infection,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004314,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003546,AN005827,Improved Soil Health and Pasture Phytochemical Richness Underlies Improved Beef Nutrient Density in Southern US Grass-Finished Beef Systems,Cow,Muscle,Other,NEGATIVE,Reversed phase,,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003546,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003745,AN006150,Screen potential marker proteins influencing spermatogenesis in the testes of Shandong Black Cattle bulls via multi-omics integrated analysis.,Cow,Testes,LCMS,POSITIVE,Reversed phase,,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003745,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST002971,AN004880,Untargeted metabolomics of bioluminescent cell at T24h,Escherichia coli,Bacterial cells,LCMS,NEGATIVE,HILIC,,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST002971,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST002978,AN004893,Metabolite Profiling Of Vaginal Microbes In Suspension And Biofilm Cultures: Potential Target Against Bacterial Vaginosis,Gardenerella vaginalis,Bacterial cells,LCMS,NEGATIVE,Reversed phase,Bacterial Vaginosis,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST002978,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004891,AN008292,Metabolomic profiling of simulated oral bacterial consortia identifies limited bacterial production of GDM-associated salivary metabolites and glutamine enrichment in Streptococcus-dominated communities,Gemella morbillorum,Bacterial media,LCMS,NEGATIVE,Reverse phase LC,Diabetes,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004891,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST005052,AN008590,"Untargeted fecal metabolomics reveals persistent host species-associated metabolic differentiation among co-housed camels, yaks, horses, and Mongolian wild asses",Horse; Yak; Donkey; Camel,Feces,LCMS,POSITIVE,Reversed phase,,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST005052,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST002281,AN003726,Metabolite patterns between isogenic normal hiPSCs and Trisomy hiPSC,Human,iPSC cells,APCI,NEGATIVE,Reversed phase,Down syndrome,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST002281,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
N-Lactoyl phenylalanine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST002405,AN003919,Stool global metabolite levels in peanut allergy (Part 2),Human,Feces,LCMS,UNSPECIFIED,HILIC,Peanut allergy,N-Lactoyl phenylalanine,,IIRJJZHHNGABMQ-WPRPVWTQSA-N,11075454,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST002405,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20phenylalanine
