record_key,escalation,reason,decision_needed,title,record_url
doi:10.1007/s11306-025-02260-0,cross_source_metadata_conflict,journal: metabolomics != metabolomics : official journal of the metabolomic society,confirm the authoritative bibliographic record before citing,Exercise intensity determines circulating levels of Lac-Phe and other exerkines: a randomized crossover trial,https://doi.org/10.1007/s11306-025-02260-0
doi:10.1016/j.bios.2025.117149,cross_source_metadata_conflict,journal: biosensors & bioelectronics != biosensors and bioelectronics,confirm the authoritative bibliographic record before citing,Rapid indirect detection of N-lactoyl-phenylalanine using dual DNA biosensors based on solution-gated graphene field-effect transistor,https://europepmc.org/article/MED/39818180
doi:10.1016/j.tem.2024.05.007,cross_source_metadata_conflict,journal: trends in endocrinology & metabolism != trends in endocrinology and metabolism: tem,confirm the authoritative bibliographic record before citing,Lac-Phe (N-lactoyl-phenylalanine),https://doi.org/10.1016/j.tem.2024.05.007
doi:10.1038/s41574-024-00986-w,cross_source_metadata_conflict,journal: nature reviews endocrinology != nature reviews. endocrinology,confirm the authoritative bibliographic record before citing,Metformin acts through appetite-suppressing metabolite: Lac-Phe,https://doi.org/10.1038/s41574-024-00986-w
doi:10.1038/s42255-024-01014-x,cross_source_metadata_conflict,title: metformin induces a lac-phe gut-brain signalling axis != metformin induces a lac-phe gut–brain signalling axis,confirm the authoritative bibliographic record before citing,Metformin induces a Lac-Phe gut–brain signalling axis,https://doi.org/10.1038/s42255-024-01014-x
doi:10.1101/2022.09.07.22279536,cross_source_metadata_conflict,title: exercise-induced n-lactoylphenylalanine predicts adipose tissue loss during endurance training in overweight and obese humans != increased levels of n-lactoylphenylalanine after exercise are related to adipose tissue loss during endurance training in humans with overweight and obesity,confirm the authoritative bibliographic record before citing,Exercise-Induced N-Lactoylphenylalanine Predicts Adipose Tissue Loss during Endurance Training in Overweight and Obese Humans,https://doi.org/10.3390/metabo13010015
doi:10.1515/mr-2025-0030,cross_source_metadata_conflict,journal: medical review != medical review (2021),confirm the authoritative bibliographic record before citing,Lac-Phe: a central metabolic regulator and biomarker,https://doi.org/10.1515/mr-2025-0030
doi:10.3389/fspor.2025.1600714,cross_source_metadata_conflict,"title: proof-of-concept of a prior validated lc-ms/ms method for detection of n -lactoyl-phenylalanine in dried blood spots before, during and after a performance diagnostic test of junior squad triathletes != proof-of-concept of a prior validated lc-ms/ms method for detection of n-lactoyl-phenylalanine in dried blood spots before, during and after a performance diagnostic test of junior squad triathletes",confirm the authoritative bibliographic record before citing,"Proof-of-concept of a prior validated LC-MS/MS method for detection of N-lactoyl-phenylalanine in dried blood spots before, during and after a performance diagnostic test of junior squad triathletes",https://doi.org/10.3389/fspor.2025.1600714
doi:10.3390/antiox15040441,cross_source_metadata_conflict,"journal: antioxidants != antioxidants (basel, switzerland)",confirm the authoritative bibliographic record before citing,The Emerging Role of N-Lactoyl-Phenylalanine (Lac-Phe) in Metabolic Regulation and Disease: From Exercise-Induced Metabolite to Therapeutic Candidate,https://doi.org/10.3390/antiox15040441
doi:10.1002/adhm.202402329,possible_name_homonym,"the queried name appears alongside both materials-science and biological context terms, so which entity the string denotes is unresolved",confirm the chemical entity from the full text before counting this record as subject evidence,"Bilayer Scaffolds Synergize Immunomodulation and Rejuvenation via Layer-Specific Release of CK2.1 and the ""Exercise Hormone"" Lac-Phe for Enhanced Osteochondral Regeneration",https://europepmc.org/article/MED/39529517
doi:10.1016/j.jcmgh.2025.101558,possible_name_homonym,"the queried name appears alongside both materials-science and biological context terms, so which entity the string denotes is unresolved",confirm the chemical entity from the full text before counting this record as subject evidence,Exercise-induced Metabolite N-lactoyl-phenylalanine Ameliorates Colitis by Inhibiting M1 Macrophage Polarization via the Suppression of the NF-κB Signaling Pathway,https://europepmc.org/article/MED/40562095
