query_refmet_name,match_basis,review_status,decision_scope,harmonization_eligibility,study_id,analysis_id,study_title,species,sample_source,analysis_type,polarity,chromatography,disease,refmet_name,refmet_id,inchi_key,pubchem_cid,super_class,main_class,sub_class,study_link,source_system,provenance_url
N-Lactoyl isoleucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003546,AN005827,Improved Soil Health and Pasture Phytochemical Richness Underlies Improved Beef Nutrient Density in Southern US Grass-Finished Beef Systems,Cow,Muscle,Other,NEGATIVE,Reversed phase,,N-Lactoyl isoleucine,,JYNQEELVVSUBGX-ACZMJKKPSA-N,140392220,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003546,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20isoleucine
N-Lactoyl isoleucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST002978,AN004893,Metabolite Profiling Of Vaginal Microbes In Suspension And Biofilm Cultures: Potential Target Against Bacterial Vaginosis,Gardenerella vaginalis,Bacterial cells,LCMS,NEGATIVE,Reversed phase,Bacterial Vaginosis,N-Lactoyl isoleucine,,JYNQEELVVSUBGX-ACZMJKKPSA-N,140392220,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST002978,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20isoleucine
N-Lactoyl isoleucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST005052,AN008591,"Untargeted fecal metabolomics reveals persistent host species-associated metabolic differentiation among co-housed camels, yaks, horses, and Mongolian wild asses",Horse; Yak; Donkey; Camel,Feces,LCMS,NEGATIVE,Reversed phase,,N-Lactoyl isoleucine,,JYNQEELVVSUBGX-ACZMJKKPSA-N,140392220,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST005052,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20isoleucine
N-Lactoyl isoleucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST002498,AN004656,Plasma Metabolomics Profiling of 580 Patients from the Weill Cornell Medicine Early Detection Research Network Prostate Cancer Cohort,Human,Blood,LCMS,NEGATIVE,Reversed phase,Cancer,N-Lactoyl isoleucine,,JYNQEELVVSUBGX-ACZMJKKPSA-N,140392220,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST002498,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20isoleucine
N-Lactoyl isoleucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004029,AN006659,ACC1 (Acetyl-CoA carboxylase 1) regulates plasma membrane cholesterol levels by controlling lipid droplet catabolism,Human,Cultured cells,LCMS,NEGATIVE,Reversed phase,Metabolic syndrome,N-Lactoyl isoleucine,,JYNQEELVVSUBGX-ACZMJKKPSA-N,140392220,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004029,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20isoleucine
N-Lactoyl isoleucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004297,AN007146,ROSE longitudinal metabolomics analyses of ARDS inflammatory phenotypes,Human,Blood,Other,NEGATIVE,Reversed phase,Acute respiratory distress syndrome,N-Lactoyl isoleucine,,JYNQEELVVSUBGX-ACZMJKKPSA-N,140392220,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004297,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20isoleucine
N-Lactoyl isoleucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004318,AN007194,Metabolomic profiling of serum and stool reveals lipid and amino acid pathways associated with ALS progression rate and sex-specific differences,Human,Blood,LCMS,NEGATIVE,Reversed phase,ALS,N-Lactoyl isoleucine,,JYNQEELVVSUBGX-ACZMJKKPSA-N,140392220,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004318,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20isoleucine
N-Lactoyl isoleucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST005011,AN008513,Gut microbiota and metabolites are linked to disease progression in multiple sclerosis - Serum,Human,Blood,Other,NEGATIVE,Reversed phase,Multiple sclerosis,N-Lactoyl isoleucine,,JYNQEELVVSUBGX-ACZMJKKPSA-N,140392220,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST005011,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20isoleucine
N-Lactoyl isoleucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004696,AN007934,Whey protein isolate enhances the growth and probiotic features of Lacticaseibacillus rhamnosus GG,Lacticaseibacillus rhamnosus,Culture media,LCMS,NEGATIVE,Reversed phase,,N-Lactoyl isoleucine,,JYNQEELVVSUBGX-ACZMJKKPSA-N,140392220,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004696,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20isoleucine
N-Lactoyl isoleucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003277,AN005367,LC-MS/MS spatial analysis of mouse GI,Mouse,Blood,LCMS,NEGATIVE,Reversed phase,,N-Lactoyl isoleucine,,JYNQEELVVSUBGX-ACZMJKKPSA-N,140392220,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003277,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20isoleucine
