source_study,source_variable,source_label,source_unit,source_timing,source_modality,proposed_common_variable,proposed_common_unit,transform,confidence,evidence,review_status
SYN-METEX-GEN,vo2max,VO2max,mL/kg/min,baseline,cpet,vo2max,mL/kg/min,identity,0.96,Matched vo2max via name_or_label_synonym. Source variable exactly matches common variable. Unit is compatible. Modality is compatible. Timing is reported.,accepted
SYN-METEX-GEN,age,Participant age,years,baseline,demographics,age,years,identity,0.96,Matched age via name_or_label_synonym. Source variable exactly matches common variable. Unit is compatible. Modality is compatible. Timing is reported.,accepted
SYN-METEX-GEN,sex,Biological sex,category,baseline,demographics,sex,category,identity,0.96,Matched sex via name_or_label_synonym. Source variable exactly matches common variable. Unit is compatible. Modality is compatible. Timing is reported.,accepted
SYN-METEX-GEN,bmi,Body mass index,kg/m^2,baseline,body_composition,bmi,kg/m^2,identity,0.96,Matched bmi via name_or_label_synonym. Source variable exactly matches common variable. Unit is compatible. Modality is compatible. Timing is reported.,accepted
SYN-METEX-GEN,fasting_glucose,Fasting glucose,mg/dL,baseline,metabolomics,fasting_glucose,mg/dL,identity,0.96,Matched fasting_glucose via name_or_label_synonym. Source variable exactly matches common variable. Unit is compatible. Modality is compatible. Timing is reported.,accepted
SYN-CPET-RICH,insulin,Insulin,uIU/mL,baseline,clinical,insulin,uIU/mL,identity,0.96,Matched insulin via name_or_label_synonym. Source variable exactly matches common variable. Unit is compatible. Modality is compatible. Timing is reported.,accepted
SYN-MOTRPAC-LIKE,vo2max,VO2max,mL/kg/min,baseline,cpet,vo2max,mL/kg/min,identity,0.96,Matched vo2max via name_or_label_synonym. Source variable exactly matches common variable. Unit is compatible. Modality is compatible. Timing is reported.,accepted
SYN-MOTRPAC-LIKE,steps_per_day,Steps per day,steps/day,7-day average,actigraphy,steps_per_day,steps/day,identity,0.96,Matched steps_per_day via name_or_label_synonym. Source variable exactly matches common variable. Unit is compatible. Modality is compatible. Timing is reported.,accepted
SYN-MOTRPAC-LIKE,mvpa_minutes,MVPA minutes,min/day,7-day average,actigraphy,mvpa_minutes,min/day,identity,0.96,Matched mvpa_minutes via partial_name_similarity. Source variable exactly matches common variable. Unit is compatible. Modality is compatible. Timing is reported.,accepted
SYN-MOTRPAC-LIKE,lean_mass,Lean mass,kg,baseline,body_composition,lean_mass,kg,identity,0.96,Matched lean_mass via name_or_label_synonym. Source variable exactly matches common variable. Unit is compatible. Modality is compatible. Timing is reported.,accepted
SYN-MOTRPAC-LIKE,fat_mass,Fat mass,kg,baseline,body_composition,fat_mass,kg,identity,0.96,Matched fat_mass via name_or_label_synonym. Source variable exactly matches common variable. Unit is compatible. Modality is compatible. Timing is reported.,accepted
SYN-RESTRICTED-META,age,Age,years,baseline,demographics,age,years,identity,0.96,Matched age via name_or_label_synonym. Source variable exactly matches common variable. Unit is compatible. Modality is compatible. Timing is reported.,accepted
