source_study,source_variable,source_label,source_unit,source_timing,source_modality,proposed_common_variable,proposed_common_unit,transform,confidence,evidence,review_status
SYN-METEX-GEN,vo2max,VO2max,mL/kg/min,baseline,cpet,vo2max,mL/kg/min,identity,0.96,Matched vo2max via name_or_label_synonym. Source variable exactly matches common variable. Unit is compatible. Modality is compatible. Timing is reported.,accepted
SYN-METEX-GEN,age,Participant age,years,baseline,demographics,age,years,identity,0.96,Matched age via name_or_label_synonym. Source variable exactly matches common variable. Unit is compatible. Modality is compatible. Timing is reported.,accepted
SYN-METEX-GEN,sex,Biological sex,category,baseline,demographics,sex,category,identity,0.96,Matched sex via name_or_label_synonym. Source variable exactly matches common variable. Unit is compatible. Modality is compatible. Timing is reported.,accepted
SYN-METEX-GEN,bmi,Body mass index,kg/m^2,baseline,body_composition,bmi,kg/m^2,identity,0.96,Matched bmi via name_or_label_synonym. Source variable exactly matches common variable. Unit is compatible. Modality is compatible. Timing is reported.,accepted
SYN-METEX-GEN,fasting_glucose,Fasting glucose,mg/dL,baseline,metabolomics,fasting_glucose,mg/dL,identity,0.96,Matched fasting_glucose via name_or_label_synonym. Source variable exactly matches common variable. Unit is compatible. Modality is compatible. Timing is reported.,accepted
SYN-ACTI-MET,daily_steps,Daily steps,steps/day,7-day average,actigraphy,steps_per_day,steps/day,identity,0.88,Matched steps_per_day via name_or_label_synonym. Source variable is a synonym or related label. Unit is compatible. Modality is compatible. Timing is reported.,requires_human_review
SYN-ACTI-MET,mvpa_min,MVPA minutes,min/day,7-day average,actigraphy,mvpa_minutes,min/day,identity,0.88,Matched mvpa_minutes via name_or_label_synonym. Source variable is a synonym or related label. Unit is compatible. Modality is compatible. Timing is reported.,requires_human_review
SYN-ACTI-MET,total_fat_mass,DXA fat mass,kg,baseline,body_composition,fat_mass,kg,identity,0.88,Matched fat_mass via name_or_label_synonym. Source variable is a synonym or related label. Unit is compatible. Modality is compatible. Timing is reported.,requires_human_review
SYN-OMICS-GEN,participant_age,Age,years,baseline,demographics,age,years,identity,0.88,Matched age via name_or_label_synonym. Source variable is a synonym or related label. Unit is compatible. Modality is compatible. Timing is reported.,requires_human_review
SYN-OMICS-GEN,glucose_fasting,Fasting glucose,mmol/L,baseline,clinical,fasting_glucose,mg/dL,multiply_by_18.0182,0.88,Matched fasting_glucose via name_or_label_synonym. Source variable is a synonym or related label. Unit is compatible. Modality is compatible. Timing is reported.,requires_human_review
SYN-OMICS-GEN,fasting_insulin,Fasting insulin,uIU/mL,baseline,clinical,insulin,uIU/mL,identity,0.88,Matched insulin via name_or_label_synonym. Source variable is a synonym or related label. Unit is compatible. Modality is compatible. Timing is reported.,requires_human_review
SYN-EXER-NODATA,peak_vo2,Peak VO2,mL/kg/min,unknown,cpet,vo2max,mL/kg/min,identity,0.76,Matched vo2max via name_or_label_synonym. Source variable is a synonym or related label. Unit is compatible. Modality is compatible. Timing is missing. VO2peak and VO2max are not accepted as equivalent without protocol evidence.,requires_human_review
SYN-MET-NOCODEBOOK,metab_feature_001,Unknown metabolite intensity,unknown,unknown,metabolomics,not_mapped,not_available,not_available,0.2,No supported scientific synonym or mapping rule matched.,rejected
SYN-CPET-RICH,vo2peak,VO2peak,mL/kg/min,baseline,cpet,vo2max,mL/kg/min,identity,0.78,Matched vo2max via name_or_label_synonym. Source variable is a synonym or related label. Unit is compatible. Modality is compatible. Timing is reported. VO2peak and VO2max are not accepted as equivalent without protocol evidence.,requires_human_review
SYN-CPET-RICH,total_lean_mass,Total lean mass,kg,baseline,body_composition,lean_mass,kg,identity,0.88,Matched lean_mass via name_or_label_synonym. Source variable is a synonym or related label. Unit is compatible. Modality is compatible. Timing is reported.,requires_human_review
SYN-CPET-RICH,insulin,Insulin,uIU/mL,baseline,clinical,insulin,uIU/mL,identity,0.96,Matched insulin via name_or_label_synonym. Source variable exactly matches common variable. Unit is compatible. Modality is compatible. Timing is reported.,accepted
SYN-MOTRPAC-LIKE,vo2max,VO2max,mL/kg/min,baseline,cpet,vo2max,mL/kg/min,identity,0.96,Matched vo2max via name_or_label_synonym. Source variable exactly matches common variable. Unit is compatible. Modality is compatible. Timing is reported.,accepted
SYN-MOTRPAC-LIKE,steps_per_day,Steps per day,steps/day,7-day average,actigraphy,steps_per_day,steps/day,identity,0.96,Matched steps_per_day via name_or_label_synonym. Source variable exactly matches common variable. Unit is compatible. Modality is compatible. Timing is reported.,accepted
SYN-MOTRPAC-LIKE,mvpa_minutes,MVPA minutes,min/day,7-day average,actigraphy,mvpa_minutes,min/day,identity,0.96,Matched mvpa_minutes via partial_name_similarity. Source variable exactly matches common variable. Unit is compatible. Modality is compatible. Timing is reported.,accepted
SYN-MOTRPAC-LIKE,lean_mass,Lean mass,kg,baseline,body_composition,lean_mass,kg,identity,0.96,Matched lean_mass via name_or_label_synonym. Source variable exactly matches common variable. Unit is compatible. Modality is compatible. Timing is reported.,accepted
SYN-MOTRPAC-LIKE,fat_mass,Fat mass,kg,baseline,body_composition,fat_mass,kg,identity,0.96,Matched fat_mass via name_or_label_synonym. Source variable exactly matches common variable. Unit is compatible. Modality is compatible. Timing is reported.,accepted
SYN-DIET-BODY,body_mass_index,BMI,kg/m^2,baseline,body_composition,bmi,kg/m^2,identity,0.88,Matched bmi via name_or_label_synonym. Source variable is a synonym or related label. Unit is compatible. Modality is compatible. Timing is reported.,requires_human_review
SYN-DIET-BODY,dxa_lean_mass,DXA lean mass,kg,baseline,body_composition,lean_mass,kg,identity,0.88,Matched lean_mass via name_or_label_synonym. Source variable is a synonym or related label. Unit is compatible. Modality is compatible. Timing is reported.,requires_human_review
SYN-DIET-BODY,diet_score,Diet quality score,points,baseline,diet,not_mapped,not_available,not_available,0.2,No supported scientific synonym or mapping rule matched.,rejected
SYN-RESTRICTED-META,age,Age,years,baseline,demographics,age,years,identity,0.96,Matched age via name_or_label_synonym. Source variable exactly matches common variable. Unit is compatible. Modality is compatible. Timing is reported.,accepted
