query_refmet_name,match_basis,review_status,decision_scope,harmonization_eligibility,study_id,analysis_id,study_title,species,sample_source,analysis_type,polarity,chromatography,disease,refmet_name,refmet_id,inchi_key,pubchem_cid,super_class,main_class,sub_class,study_link,source_system,provenance_url
N-Lactoyl leucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003546,AN005827,Improved Soil Health and Pasture Phytochemical Richness Underlies Improved Beef Nutrient Density in Southern US Grass-Finished Beef Systems,Cow,Muscle,Other,NEGATIVE,Reversed phase,,N-Lactoyl leucine,,BUMIGZVUJKNXCO-BQBZGAKWSA-N,57329455,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003546,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20leucine
N-Lactoyl leucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST002978,AN004893,Metabolite Profiling Of Vaginal Microbes In Suspension And Biofilm Cultures: Potential Target Against Bacterial Vaginosis,Gardenerella vaginalis,Bacterial cells,LCMS,NEGATIVE,Reversed phase,Bacterial Vaginosis,N-Lactoyl leucine,,BUMIGZVUJKNXCO-BQBZGAKWSA-N,57329455,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST002978,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20leucine
N-Lactoyl leucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004891,AN008291,Metabolomic profiling of simulated oral bacterial consortia identifies limited bacterial production of GDM-associated salivary metabolites and glutamine enrichment in Streptococcus-dominated communities,Gemella morbillorum,Bacterial media,LCMS,POSITIVE,Reverse phase LC,Diabetes,N-Lactoyl leucine,,BUMIGZVUJKNXCO-BQBZGAKWSA-N,57329455,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004891,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20leucine
N-Lactoyl leucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST002498,AN004656,Plasma Metabolomics Profiling of 580 Patients from the Weill Cornell Medicine Early Detection Research Network Prostate Cancer Cohort,Human,Blood,LCMS,NEGATIVE,Reversed phase,Cancer,N-Lactoyl leucine,,BUMIGZVUJKNXCO-BQBZGAKWSA-N,57329455,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST002498,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20leucine
N-Lactoyl leucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003770,AN006191,"Metabolomics profiling of ovarian cancer ascites, patient plasma, and healthy donor plasma",Human,Blood,LCMS,NEGATIVE,HILIC,Cancer,N-Lactoyl leucine,,BUMIGZVUJKNXCO-BQBZGAKWSA-N,57329455,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003770,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20leucine
N-Lactoyl leucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004029,AN006659,ACC1 (Acetyl-CoA carboxylase 1) regulates plasma membrane cholesterol levels by controlling lipid droplet catabolism,Human,Cultured cells,LCMS,NEGATIVE,Reversed phase,Metabolic syndrome,N-Lactoyl leucine,,BUMIGZVUJKNXCO-BQBZGAKWSA-N,57329455,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004029,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20leucine
N-Lactoyl leucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004174,AN006929,"Metabolomic analysis of supernatants from ovarian cancer ascites fluid with activated T cells, unactivated T cells, and T cells stimulated in ovarian cancer ascites fluid",Human,Ascites,LCMS,UNSPECIFIED,HILIC,Cancer,N-Lactoyl leucine,,BUMIGZVUJKNXCO-BQBZGAKWSA-N,57329455,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004174,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20leucine
N-Lactoyl leucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004297,AN007146,ROSE longitudinal metabolomics analyses of ARDS inflammatory phenotypes,Human,Blood,Other,NEGATIVE,Reversed phase,Acute respiratory distress syndrome,N-Lactoyl leucine,,BUMIGZVUJKNXCO-BQBZGAKWSA-N,57329455,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004297,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20leucine
N-Lactoyl leucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004318,AN007194,Metabolomic profiling of serum and stool reveals lipid and amino acid pathways associated with ALS progression rate and sex-specific differences,Human,Blood,LCMS,NEGATIVE,Reversed phase,ALS,N-Lactoyl leucine,,BUMIGZVUJKNXCO-BQBZGAKWSA-N,57329455,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004318,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20leucine
N-Lactoyl leucine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004377,AN007313,Metabolomic analysis of WT and TRAP1 KO HEK293 cells in the presence or absence of the mitochondrial Hsp90 inhibitor Gamitrinib-TPP.,Human,Cultured cells,LCMS,NEGATIVE,HILIC,Cancer,N-Lactoyl leucine,,BUMIGZVUJKNXCO-BQBZGAKWSA-N,57329455,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004377,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20leucine
