"query_original","query_type","matched_term","match_basis","match_confidence","review_status","source_system","study_id","study_title","accession_or_contrast","study_link","sample_matrix","intervention_timing","platform","sex_or_subgroup","metabolite","refmet_name","source_metabolite_raw","class","superclass","subclass","log2fc","p_value","fdr","direction","significance_call","effect_interpretation","provenance_file","missing_evidence","is_exact","is_significant","plot_label","plot_source","palette_source"
"Leucine","metabolite","Isoleucine","substring_name_match","requires_human_review","requires_human_review","Metabolomics Workbench","ST004303","Exercise intensity modulates the human plasma secretome (Rockefeller)","ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled","https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004303","plasma","acute, post (Time 4P) vs pre (Time 1P)","LC-MS HILIC (MW analysis AN007160)","","Isoleucine","Isoleucine","Isoleucine","Amino acids and peptides","Organic acids","Amino acids",-0.274712542385122,0.0004164995667226,0.0015826983535461,"down_in_numerator","significant_FDR<0.05","0.27 log2-units lower in HIGHER post-exercise (late, ~late-post) (p=4.16e-04, FDR=1.58e-03)","data/live/volcano_human_ST004303.csv","",FALSE,TRUE,"Isoleucine","Metabolomics Workbench ST004303","neutral status colors; no inferred MW-to-MoTrPAC group/sex palette"
"Leucine","metabolite","L-Isoleucine","substring_name_match","requires_human_review","requires_human_review","Metabolomics Workbench","ST004303","Exercise intensity modulates the human plasma secretome (Rockefeller)","ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled","https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004303","plasma","acute, post (Time 4P) vs pre (Time 1P)","LC-MS HILIC (MW analysis AN007160)","","L-Isoleucine","Isoleucine","L-Isoleucine","Amino acids and peptides","Organic acids","Amino acids",-0.268062572930847,0.0006201715615892,0.0021706004655622,"down_in_numerator","significant_FDR<0.05","0.27 log2-units lower in HIGHER post-exercise (late, ~late-post) (p=6.20e-04, FDR=2.17e-03)","data/live/volcano_human_ST004303.csv","",FALSE,TRUE,"L-Isoleucine","Metabolomics Workbench ST004303","neutral status colors; no inferred MW-to-MoTrPAC group/sex palette"
"Leucine","metabolite","4-METHYL-2-OXO-PENTANOIC ACID","substring_name_match","requires_human_review","requires_human_review","Metabolomics Workbench","ST004303","Exercise intensity modulates the human plasma secretome (Rockefeller)","ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled","https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004303","plasma","acute, post (Time 4P) vs pre (Time 1P)","LC-MS HILIC (MW analysis AN007160)","","4-METHYL-2-OXO-PENTANOIC ACID","Ketoleucine","4-METHYL-2-OXO-PENTANOIC ACID","Keto acids","Organic acids","Short-chain keto acids",-0.156654589641926,0.0213454442304716,0.0489473117698747,"down_in_numerator","significant_FDR<0.05","0.16 log2-units lower in HIGHER post-exercise (late, ~late-post) (p=2.13e-02, FDR=4.89e-02)","data/live/volcano_human_ST004303.csv","",FALSE,TRUE,"4-methyl-2-oxo-pentanoic acid","Metabolomics Workbench ST004303","neutral status colors; no inferred MW-to-MoTrPAC group/sex palette"
"Leucine","metabolite","DL-β-Leucine","substring_name_match","requires_human_review","requires_human_review","Metabolomics Workbench","ST004303","Exercise intensity modulates the human plasma secretome (Rockefeller)","ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled","https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004303","plasma","acute, post (Time 4P) vs pre (Time 1P)","LC-MS HILIC (MW analysis AN007160)","","DL-β-Leucine","beta-Leucine","DL-β-Leucine","Amino acids and peptides","Organic acids","Amino acids",-0.150718641570462,0.113361714769325,0.19969679555391,"down_in_numerator","not_significant","0.15 log2-units lower in HIGHER post-exercise (late, ~late-post) (p=1.13e-01, FDR=2.00e-01)","data/live/volcano_human_ST004303.csv","",FALSE,FALSE,"DL-beta-Leucine","Metabolomics Workbench ST004303","neutral status colors; no inferred MW-to-MoTrPAC group/sex palette"
"Leucine","metabolite","Prolylleucine","substring_name_match","requires_human_review","requires_human_review","Metabolomics Workbench","ST004303","Exercise intensity modulates the human plasma secretome (Rockefeller)","ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled","https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004303","plasma","acute, post (Time 4P) vs pre (Time 1P)","LC-MS HILIC (MW analysis AN007160)","","Prolylleucine","Pro-Leu","Prolylleucine","Amino acids and peptides","Organic acids","Dipeptides",0.0943942870176293,0.153045881512058,0.256039021900675,"up_in_numerator","not_significant","0.09 log2-units higher in HIGHER post-exercise (late, ~late-post) (p=1.53e-01, FDR=2.56e-01)","data/live/volcano_human_ST004303.csv","",FALSE,FALSE,"Prolylleucine","Metabolomics Workbench ST004303","neutral status colors; no inferred MW-to-MoTrPAC group/sex palette"
"Leucine","metabolite","Leucine","exact_name_match","accepted_exact","accepted_exact","Metabolomics Workbench","ST004303","Exercise intensity modulates the human plasma secretome (Rockefeller)","ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled","https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004303","plasma","acute, post (Time 4P) vs pre (Time 1P)","LC-MS HILIC (MW analysis AN007160)","","Leucine","Leucine","Leucine","Amino acids and peptides","Organic acids","Amino acids",4.0437114729882,1.02833224072563e-11,2.73536376033017e-09,"up_in_numerator","significant_FDR<0.05","4.04 log2-units higher in HIGHER post-exercise (late, ~late-post) (p=1.03e-11, FDR=2.74e-09)","data/live/volcano_human_ST004303.csv","",TRUE,TRUE,"Leucine","Metabolomics Workbench ST004303","neutral status colors; no inferred MW-to-MoTrPAC group/sex palette"
"Leucine","metabolite","gamma-Glutamylisoleucine [metab-u-rpneg]","substring_name_match","requires_human_review","requires_human_review","MoTrPAC DataHub","human-precovid-sed-adu","MoTrPAC human acute exercise (precovid sedentary adults)","ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise","https://motrpac-data.org/data-download","plasma","acute, endurance bout, late post (~3.5-4 hr) vs pre","metab-u-rpneg","","gamma-Glutamylisoleucine [metab-u-rpneg]","gamma-Glutamylisoleucine","gamma-Glutamylisoleucine [metab-u-rpneg]","Amino acids and peptides","Organic acids","Dipeptides",-0.386751524400326,8.59834343453395e-06,2.7407219697577e-05,"down_in_numerator","significant_FDR<0.05","0.39 log2-units lower in HIGHER post-exercise (endurance, late post) (p=8.60e-06, FDR=2.74e-05)","data/live/volcano_motrpac_human_plasma_endur_post.csv","",FALSE,TRUE,"gamma-Glutamylisoleucine [u-rpneg]","MoTrPAC human acute endurance","neutral status colors; no inferred MW-to-MoTrPAC group/sex palette"
"Leucine","metabolite","gamma-Glutamylleucine [metab-u-rpneg]","substring_name_match","requires_human_review","requires_human_review","MoTrPAC DataHub","human-precovid-sed-adu","MoTrPAC human acute exercise (precovid sedentary adults)","ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise","https://motrpac-data.org/data-download","plasma","acute, endurance bout, late post (~3.5-4 hr) vs pre","metab-u-rpneg","","gamma-Glutamylleucine [metab-u-rpneg]","gamma-Glutamylleucine","gamma-Glutamylleucine [metab-u-rpneg]","Amino acids and peptides","Organic acids","Dipeptides",-0.329740649752139,0.0053268887200696,0.0102517481027756,"down_in_numerator","significant_FDR<0.05","0.33 log2-units lower in HIGHER post-exercise (endurance, late post) (p=5.33e-03, FDR=1.03e-02)","data/live/volcano_motrpac_human_plasma_endur_post.csv","",FALSE,TRUE,"gamma-Glutamylleucine [u-rpneg]","MoTrPAC human acute endurance","neutral status colors; no inferred MW-to-MoTrPAC group/sex palette"
"Leucine","metabolite","Leucine/Isoleucine [metab-u-rpneg]","substring_name_match","requires_human_review","requires_human_review","MoTrPAC DataHub","human-precovid-sed-adu","MoTrPAC human acute exercise (precovid sedentary adults)","ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise","https://motrpac-data.org/data-download","plasma","acute, endurance bout, late post (~3.5-4 hr) vs pre","metab-u-rpneg","","Leucine/Isoleucine [metab-u-rpneg]","Leucine/Isoleucine","Leucine/Isoleucine [metab-u-rpneg]","Amino acids and peptides","Organic acids","Amino acids",-0.266060216551786,2.63919040300145e-13,2.69197421106148e-12,"down_in_numerator","significant_FDR<0.05","0.27 log2-units lower in HIGHER post-exercise (endurance, late post) (p=2.64e-13, FDR=2.69e-12)","data/live/volcano_motrpac_human_plasma_endur_post.csv","",FALSE,TRUE,"Leucine/Isoleucine [u-rpneg]","MoTrPAC human acute endurance","neutral status colors; no inferred MW-to-MoTrPAC group/sex palette"
"Leucine","metabolite","N-Acetylleucine [metab-u-rppos]","substring_name_match","requires_human_review","requires_human_review","MoTrPAC DataHub","human-precovid-sed-adu","MoTrPAC human acute exercise (precovid sedentary adults)","ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise","https://motrpac-data.org/data-download","plasma","acute, endurance bout, late post (~3.5-4 hr) vs pre","metab-u-rppos","","N-Acetylleucine [metab-u-rppos]","N-Acetylleucine","N-Acetylleucine [metab-u-rppos]","Amino acids and peptides","Organic acids","Amino acids",-0.0944220434811012,0.230873169792939,0.326347037000545,"down_in_numerator","not_significant","0.09 log2-units lower in HIGHER post-exercise (endurance, late post) (p=2.31e-01, FDR=3.26e-01)","data/live/volcano_motrpac_human_plasma_endur_post.csv","",FALSE,FALSE,"N-Acetylleucine [u-rppos]","MoTrPAC human acute endurance","neutral status colors; no inferred MW-to-MoTrPAC group/sex palette"
