feature_id,feature_label,canonical_feature_id,contrast_id,exercise_group,effect,p_value,fdr,source_study_id,source_dataset_id,alpha,annotation_status,assay,below_lod_fraction,canonical_id_source,cell_status,ci_high,ci_low,ci_semantics,color_hex,contrast_order,cross_dataset_view,denominator_label,direction_statement,display_order,effect_palette_source,effect_scale,effect_threshold,fdr_method,fdr_scope,fdr_source,fdr_statement,fdr_test_count,feature_order,harmonization_statement,heatmap_value,input_order,main_class,mapping_status,missing_fraction,neg_log10_fdr,neg_log10_p,numerator_label,omics,palette_source,pathway,platform,quality_flags,selection_status,sex,sub_class,super_class,tissue
A_ILE,Isoleucine,RM0134975,SYN_EE_POST10_vs_PRE,EE,0.85,0.004,0.012,SYN-MOTRPAC,SYN-MOTRPAC-A,0.05,reviewed_accepted,targeted LC-MS,0.0,explicit_reviewed_mapping,observed,1.40,0.30,source model 95% CI,#D55E00,1,true,EE pre exercise,positive log2 fold change = EE post 10 min higher than EE pre exercise; negative = lower,2,Okabe-Ito blue/neutral/vermillion diverging palette,log2 fold change,0.5,Benjamini-Hochberg,all six measured metabolites in SYN-MOTRPAC-A plasma assay,provided,selection uses fdr <= 0.05; Benjamini-Hochberg adjustment over all six measured metabolites in SYN-MOTRPAC-A plasma assay; p_value is unadjusted,6,1,cross-dataset cells require an accepted canonical mapping,0.85,2,Amino acids and peptides,reviewed_accepted,0.05,1.9208187539523751,2.3979400086720375,EE post 10 min,metabolomics,Okabe-Ito (direction); repository plotting contract v1.0,branched-chain amino acid metabolism,synthetic platform A,none,higher_in_numerator,,Amino acids,Organic acids,plasma
B_ILE,Isoleucine,RM0134975,SYN_TRAINED_vs_BASE,EE,0.55,0.008,0.024,SYN-MW,SYN-MW-B,0.05,reviewed_accepted,untargeted LC-MS,0.0,explicit_reviewed_mapping,observed,1.00,0.10,source model 95% CI,#D55E00,2,true,baseline,positive log2 fold change = post training higher than baseline; negative = lower,2,Okabe-Ito blue/neutral/vermillion diverging palette,log2 fold change,0.5,Benjamini-Hochberg,all six measured metabolites in SYN-MW-B plasma assay,provided,selection uses fdr <= 0.05; Benjamini-Hochberg adjustment over all six measured metabolites in SYN-MW-B plasma assay; p_value is unadjusted,6,1,cross-dataset cells require an accepted canonical mapping,0.55,2,Amino acids and peptides,reviewed_accepted,0.06,1.6197887582883939,2.0969100130080562,post training,metabolomics,Okabe-Ito (direction); repository plotting contract v1.0,branched-chain amino acid metabolism,synthetic platform B,none,higher_in_numerator,,Amino acids,Organic acids,plasma
A_TRP,Tryptophan,RM0136024,SYN_EE_POST10_vs_PRE,EE,-0.75,0.006,0.018,SYN-MOTRPAC,SYN-MOTRPAC-A,0.05,reviewed_accepted,targeted LC-MS,0.02,explicit_reviewed_mapping,observed,-0.30,-1.20,source model 95% CI,#0072B2,1,true,EE pre exercise,positive log2 fold change = EE post 10 min higher than EE pre exercise; negative = lower,3,Okabe-Ito blue/neutral/vermillion diverging palette,log2 fold change,0.5,Benjamini-Hochberg,all six measured metabolites in SYN-MOTRPAC-A plasma assay,provided,selection uses fdr <= 0.05; Benjamini-Hochberg adjustment over all six measured metabolites in SYN-MOTRPAC-A plasma assay; p_value is unadjusted,6,2,cross-dataset cells require an accepted canonical mapping,-0.75,3,Amino acids and peptides,reviewed_accepted,0.08,1.744727494896694,2.221848749616356,EE post 10 min,metabolomics,Okabe-Ito (direction); repository plotting contract v1.0,tryptophan metabolism,synthetic platform A,none,lower_in_numerator,,Amino acids,Organic acids,plasma
B_TRP,Tryptophan,RM0136024,SYN_TRAINED_vs_BASE,EE,-0.3,0.05,0.075,SYN-MW,SYN-MW-B,0.05,reviewed_accepted,untargeted LC-MS,0.05,explicit_reviewed_mapping,observed,0.10,-0.70,source model 95% CI,#8C8C8C,2,true,baseline,positive log2 fold change = post training higher than baseline; negative = lower,5,Okabe-Ito blue/neutral/vermillion diverging palette,log2 fold change,0.5,Benjamini-Hochberg,all six measured metabolites in SYN-MW-B plasma assay,provided,selection uses fdr <= 0.05; Benjamini-Hochberg adjustment over all six measured metabolites in SYN-MW-B plasma assay; p_value is unadjusted,6,2,cross-dataset cells require an accepted canonical mapping,-0.3,3,Amino acids and peptides,reviewed_accepted,0.12,1.1249387366083,1.3010299956639813,post training,metabolomics,Okabe-Ito (direction); repository plotting contract v1.0,tryptophan metabolism,synthetic platform B,none,not_selected,,Amino acids,Organic acids,plasma
A_LEU,Leucine,RM0136379,SYN_EE_POST10_vs_PRE,EE,1.2,0.001,0.006,SYN-MOTRPAC,SYN-MOTRPAC-A,0.05,reviewed_accepted,targeted LC-MS,0.0,explicit_reviewed_mapping,observed,1.70,0.70,source model 95% CI,#D55E00,1,true,EE pre exercise,positive log2 fold change = EE post 10 min higher than EE pre exercise; negative = lower,1,Okabe-Ito blue/neutral/vermillion diverging palette,log2 fold change,0.5,Benjamini-Hochberg,all six measured metabolites in SYN-MOTRPAC-A plasma assay,provided,selection uses fdr <= 0.05; Benjamini-Hochberg adjustment over all six measured metabolites in SYN-MOTRPAC-A plasma assay; p_value is unadjusted,6,3,cross-dataset cells require an accepted canonical mapping,1.2,1,Amino acids and peptides,reviewed_accepted,0.02,2.221848749616356,3.0,EE post 10 min,metabolomics,Okabe-Ito (direction); repository plotting contract v1.0,branched-chain amino acid metabolism,synthetic platform A,none,higher_in_numerator,,Amino acids,Organic acids,plasma
B_LEU,Leucine,RM0136379,SYN_TRAINED_vs_BASE,EE,0.65,0.002,0.012,SYN-MW,SYN-MW-B,0.05,reviewed_accepted,untargeted LC-MS,0.0,explicit_reviewed_mapping,observed,1.10,0.20,source model 95% CI,#D55E00,2,true,baseline,positive log2 fold change = post training higher than baseline; negative = lower,1,Okabe-Ito blue/neutral/vermillion diverging palette,log2 fold change,0.5,Benjamini-Hochberg,all six measured metabolites in SYN-MW-B plasma assay,provided,selection uses fdr <= 0.05; Benjamini-Hochberg adjustment over all six measured metabolites in SYN-MW-B plasma assay; p_value is unadjusted,6,3,cross-dataset cells require an accepted canonical mapping,0.65,1,Amino acids and peptides,reviewed_accepted,0.01,1.9208187539523751,2.6989700043360187,post training,metabolomics,Okabe-Ito (direction); repository plotting contract v1.0,branched-chain amino acid metabolism,synthetic platform B,none,higher_in_numerator,,Amino acids,Organic acids,plasma
A_LIN,Linoleic acid,RM0149976,SYN_EE_POST10_vs_PRE,EE,0.1,0.5,0.6,SYN-MOTRPAC,SYN-MOTRPAC-A,0.05,reviewed_accepted,targeted LC-MS,0.01,explicit_reviewed_mapping,observed,0.40,-0.20,source model 95% CI,#8C8C8C,1,true,EE pre exercise,positive log2 fold change = EE post 10 min higher than EE pre exercise; negative = lower,6,Okabe-Ito blue/neutral/vermillion diverging palette,log2 fold change,0.5,Benjamini-Hochberg,all six measured metabolites in SYN-MOTRPAC-A plasma assay,provided,selection uses fdr <= 0.05; Benjamini-Hochberg adjustment over all six measured metabolites in SYN-MOTRPAC-A plasma assay; p_value is unadjusted,6,4,cross-dataset cells require an accepted canonical mapping,0.1,6,Fatty acids,reviewed_accepted,0.02,0.2218487496163564,0.3010299956639812,EE post 10 min,metabolomics,Okabe-Ito (direction); repository plotting contract v1.0,fatty acid metabolism,synthetic platform A,none,not_selected,,Unsaturated FA,Fatty Acyls,plasma
B_LIN,Linoleic acid,RM0149976,SYN_TRAINED_vs_BASE,EE,0.25,0.2,0.3,SYN-MW,SYN-MW-B,0.05,reviewed_accepted,untargeted LC-MS,0.02,explicit_reviewed_mapping,unreviewed_harmonization,0.60,-0.10,source model 95% CI,#8C8C8C,2,true,baseline,positive log2 fold change = post training higher than baseline; negative = lower,6,Okabe-Ito blue/neutral/vermillion diverging palette,log2 fold change,0.5,Benjamini-Hochberg,all six measured metabolites in SYN-MW-B plasma assay,provided,selection uses fdr <= 0.05; Benjamini-Hochberg adjustment over all six measured metabolites in SYN-MW-B plasma assay; p_value is unadjusted,6,4,cross-dataset cells require an accepted canonical mapping,,6,Fatty acids,requires_human_review,0.03,0.5228787452803376,0.6989700043360187,post training,metabolomics,Okabe-Ito (direction); repository plotting contract v1.0,fatty acid metabolism,synthetic platform B,none,not_selected,,Unsaturated FA,Fatty Acyls,plasma
A_OLE,Oleic acid,RM0151650,SYN_EE_POST10_vs_PRE,EE,-0.4,0.02,0.04,SYN-MOTRPAC,SYN-MOTRPAC-A,0.05,reviewed_accepted,targeted LC-MS,0.35,explicit_reviewed_mapping,high_below_lod,0.00,-0.80,source model 95% CI,#CC79A7,1,true,EE pre exercise,positive log2 fold change = EE post 10 min higher than EE pre exercise; negative = lower,5,Okabe-Ito blue/neutral/vermillion diverging palette,log2 fold change,0.5,Benjamini-Hochberg,all six measured metabolites in SYN-MOTRPAC-A plasma assay,provided,selection uses fdr <= 0.05; Benjamini-Hochberg adjustment over all six measured metabolites in SYN-MOTRPAC-A plasma assay; p_value is unadjusted,6,5,cross-dataset cells require an accepted canonical mapping,-0.4,5,Fatty acids,reviewed_accepted,0.04,1.3979400086720375,1.6989700043360187,EE post 10 min,metabolomics,Okabe-Ito (direction); repository plotting contract v1.0,fatty acid metabolism,synthetic platform A,high_below_lod;interpret_with_quality_caution,fdr_significant_below_effect_threshold,,Unsaturated FA,Fatty Acyls,plasma
B_OLE,Oleic acid,RM0151650,SYN_TRAINED_vs_BASE,EE,-0.45,0.03,0.06,SYN-MW,SYN-MW-B,0.05,reviewed_accepted,untargeted LC-MS,0.1,explicit_reviewed_mapping,observed,0.00,-0.90,source model 95% CI,#8C8C8C,2,true,baseline,positive log2 fold change = post training higher than baseline; negative = lower,4,Okabe-Ito blue/neutral/vermillion diverging palette,log2 fold change,0.5,Benjamini-Hochberg,all six measured metabolites in SYN-MW-B plasma assay,provided,selection uses fdr <= 0.05; Benjamini-Hochberg adjustment over all six measured metabolites in SYN-MW-B plasma assay; p_value is unadjusted,6,5,cross-dataset cells require an accepted canonical mapping,-0.45,5,Fatty acids,reviewed_accepted,0.18,1.2218487496163564,1.5228787452803376,post training,metabolomics,Okabe-Ito (direction); repository plotting contract v1.0,fatty acid metabolism,synthetic platform B,none,not_selected,,Unsaturated FA,Fatty Acyls,plasma
A_PAL,Palmitic acid,RM0153571,SYN_EE_POST10_vs_PRE,EE,-0.6,0.01,0.02,SYN-MOTRPAC,SYN-MOTRPAC-A,0.05,reviewed_accepted,targeted LC-MS,0.01,explicit_reviewed_mapping,observed,-0.20,-1.00,source model 95% CI,#0072B2,1,true,EE pre exercise,positive log2 fold change = EE post 10 min higher than EE pre exercise; negative = lower,4,Okabe-Ito blue/neutral/vermillion diverging palette,log2 fold change,0.5,Benjamini-Hochberg,all six measured metabolites in SYN-MOTRPAC-A plasma assay,provided,selection uses fdr <= 0.05; Benjamini-Hochberg adjustment over all six measured metabolites in SYN-MOTRPAC-A plasma assay; p_value is unadjusted,6,6,cross-dataset cells require an accepted canonical mapping,-0.6,4,Fatty acids,reviewed_accepted,0.03,1.6989700043360187,2.0,EE post 10 min,metabolomics,Okabe-Ito (direction); repository plotting contract v1.0,fatty acid metabolism,synthetic platform A,none,lower_in_numerator,,Saturated FA,Fatty Acyls,plasma
B_PAL,Palmitic acid,RM0153571,SYN_TRAINED_vs_BASE,EE,-0.8,0.001,0.006,SYN-MW,SYN-MW-B,0.05,reviewed_accepted,untargeted LC-MS,0.0,explicit_reviewed_mapping,observed,-0.40,-1.20,source model 95% CI,#0072B2,2,true,baseline,positive log2 fold change = post training higher than baseline; negative = lower,3,Okabe-Ito blue/neutral/vermillion diverging palette,log2 fold change,0.5,Benjamini-Hochberg,all six measured metabolites in SYN-MW-B plasma assay,provided,selection uses fdr <= 0.05; Benjamini-Hochberg adjustment over all six measured metabolites in SYN-MW-B plasma assay; p_value is unadjusted,6,6,cross-dataset cells require an accepted canonical mapping,-0.8,4,Fatty acids,reviewed_accepted,0.02,2.221848749616356,3.0,post training,metabolomics,Okabe-Ito (direction); repository plotting contract v1.0,fatty acid metabolism,synthetic platform B,none,lower_in_numerator,,Saturated FA,Fatty Acyls,plasma
